[K] Correct/Total : % correct
[1] 108/208 : 51.9230769231%
[2] 107/208 : 51.4423076923%
[3] 107/208 : 51.4423076923%
[4] 107/208 : 51.4423076923%
[5] 106/208 : 50.9615384615%
[6] 106/208 : 50.9615384615%
[7] 106/208 : 50.9615384615%
[8] 105/208 : 50.4807692308%
[9] 104/208 : 50.0%
[10] 105/208 : 50.4807692308%
[11] 105/208 : 50.4807692308%
[12] 104/208 : 50.0%
[13] 105/208 : 50.4807692308%
[14] 102/208 : 49.0384615385%
[15] 104/208 : 50.0%
[16] 101/208 : 48.5576923077%
[17] 100/208 : 48.0769230769%
[18] 100/208 : 48.0769230769%
[19] 100/208 : 48.0769230769%
[20] 101/208 : 48.5576923077%
[21] 100/208 : 48.0769230769%
[22] 101/208 : 48.5576923077%
[23] 100/208 : 48.0769230769%
[24] 101/208 : 48.5576923077%
[25] 101/208 : 48.5576923077%
[26] 101/208 : 48.5576923077%
[27] 102/208 : 49.0384615385%
[28] 101/208 : 48.5576923077%
[29] 102/208 : 49.0384615385%
[30] 103/208 : 49.5192307692%
[31] 103/208 : 49.5192307692%
[32] 102/208 : 49.0384615385%
[33] 105/208 : 50.4807692308%
[34] 106/208 : 50.9615384615%
[35] 104/208 : 50.0%
[36] 103/208 : 49.5192307692%
[37] 101/208 : 48.5576923077%
[38] 102/208 : 49.0384615385%
[39] 103/208 : 49.5192307692%
[40] 102/208 : 49.0384615385%
[41] 100/208 : 48.0769230769%
[42] 100/208 : 48.0769230769%
[43] 101/208 : 48.5576923077%
[44] 100/208 : 48.0769230769%
[45] 100/208 : 48.0769230769%
[46] 99/208 : 47.5961538462%
[47] 100/208 : 48.0769230769%
[48] 100/208 : 48.0769230769%
[49] 100/208 : 48.0769230769%
